City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
66,Quatre Cocos,MU,2021-12-19 01:37:48,-20.2078,57.7625,73.09,76,0,2.59
67,Mananjary,MG,2021-12-19 01:37:48,-21.2167,48.3333,75.02,91,96,8.3
68,Codrington,AU,2021-12-19 01:37:49,-38.2667,141.9667,56.71,86,95,20.76
69,Vaini,TO,2021-12-19 01:34:22,-21.2,-175.2,89.76,79,20,9.22
70,Turukhansk,RU,2021-12-19 01:37:50,65.8167,87.9833,-34.19,91,23,4.23
71,Rio Gallegos,AR,2021-12-19 01:37:50,-51.6226,-69.2181,68.05,32,20,21.85
72,Saint-francois,FR,2021-12-19 01:28:25,46.4154,3.9054,35.47,94,90,3.44
73,Avarua,CK,2021-12-19 01:30:54,-21.2078,-159.775,82.45,61,75,11.5
74,Wagar,SD,2021-12-19 01:37:51,16.1525,36.2032,71.65,32,0,10.51
75,Port Alfred,ZA,2021-12-19 01:37:52,-33.5906,26.891,64.31,78,41,20.74
76,Prince Rupert,CA,2021-12-19 01:34:38,54.3161,-130.3201,35.29,94,1,3.44
77,Do Gonbadan,IR,2021-12-19 01:37:52,30.3586,50.7981,53.69,100,90,0.0
78,Mabaruma,GY,2021-12-19 01:37:53,8.2,-59.7833,74.1,99,100,4.12
79,Luau,AO,2021-12-19 01:37:53,-10.7073,22.2247,63.36,97,100,1.83
80,Klaksvik,FO,2021-12-19 01:32:18,62.2266,-6.589,45.52,88,99,10.04
81,Kashan,IR,2021-12-19 01:37:54,33.9831,51.4364,44.64,57,70,1.83
82,Semey,KZ,2021-12-19 01:37:54,50.4111,80.2275,16.02,79,0,8.95
83,Ucluelet,CA,2021-12-19 01:37:55,48.9329,-125.5528,42.1,84,83,4.0
84,Comodoro Rivadavia,AR,2021-12-19 01:37:55,-45.8667,-67.5,64.26,55,0,4.61
85,Qaanaaq,GL,2021-12-19 01:37:55,77.484,-69.3632,7.59,74,100,7.0
86,Fortuna,US,2021-12-19 01:32:06,40.5982,-124.1573,50.94,85,90,0.0
87,Victoria,HK,2021-12-19 01:37:53,22.2855,114.1577,64.26,50,100,1.01
88,Barrow,US,2021-12-19 01:25:02,71.2906,-156.7887,-5.78,77,90,11.5
89,Atuona,PF,2021-12-19 01:37:56,-9.8,-139.0333,78.33,72,15,12.3
90,Kapaa,US,2021-12-19 01:37:57,22.0752,-159.319,82.38,78,40,5.01
91,Castro,BR,2021-12-19 01:31:01,-24.7911,-50.0119,61.29,88,87,12.95
92,Bredasdorp,ZA,2021-12-19 01:37:02,-34.5322,20.0403,62.28,88,80,6.91
93,Coihaique,CL,2021-12-19 01:33:02,-45.5752,-72.0662,56.88,89,0,6.89
94,Svencionys,LT,2021-12-19 01:37:58,55.15,26.1667,38.44,91,96,15.66
95,Kaduna,NG,2021-12-19 01:37:59,10.5222,7.4383,64.04,23,17,11.79
96,Longyearbyen,SJ,2021-12-19 01:32:09,78.2186,15.6401,21.04,86,0,1.14
97,Jamestown,US,2021-12-19 01:37:38,42.097,-79.2353,40.32,98,90,5.01
98,Dikson,RU,2021-12-19 01:38:00,73.5069,80.5464,-23.64,94,92,6.62
99,Loralai,PK,2021-12-19 01:38:00,30.3705,68.598,38.55,16,0,2.62
100,Caala,AO,2021-12-19 01:38:01,-12.8525,15.5606,58.95,97,100,0.89
101,Souillac,MU,2021-12-19 01:38:01,-20.5167,57.5167,73.36,78,0,2.73
102,Skibbereen,IE,2021-12-19 01:38:02,51.55,-9.2667,48.0,84,100,14.67
103,Kavaje,AL,2021-12-19 01:38:02,41.1856,19.5569,33.96,59,0,5.5
104,Kihei,US,2021-12-19 01:38:03,20.785,-156.4656,80.62,73,40,24.16
105,Provideniya,RU,2021-12-19 01:28:26,64.3833,-173.3,3.9,96,100,15.52
106,Hilo,US,2021-12-19 01:38:04,19.7297,-155.09,80.33,47,40,5.75
107,Quelimane,MZ,2021-12-19 01:38:04,-17.8786,36.8883,73.35,100,75,9.22
108,Nanortalik,GL,2021-12-19 01:38:05,60.1432,-45.2371,35.89,96,100,20.69
109,Olafsvik,IS,2021-12-19 01:38:05,64.8945,-23.7142,44.85,96,100,20.0
110,Goundam,ML,2021-12-19 01:38:06,16.4145,-3.6708,70.43,17,10,11.45
111,Yellowknife,CA,2021-12-19 01:35:48,62.456,-114.3525,-17.88,76,90,4.61
112,Okitipupa,NG,2021-12-19 01:38:06,6.5047,4.7839,70.07,67,69,0.36
113,Yar-sale,RU,2021-12-19 01:38:07,66.8333,70.8333,-29.2,99,26,5.73
114,Celestun,MX,2021-12-19 01:38:07,20.8667,-90.4,79.11,77,46,6.11
115,Flagstaff,US,2021-12-19 01:38:07,35.1981,-111.6513,31.66,55,1,0.0
116,Aswan,EG,2021-12-19 01:38:08,24.0934,32.907,51.1,50,0,9.22
117,Verkhovazhye,RU,2021-12-19 01:38:08,60.7472,42.0465,15.48,96,100,5.06
118,Kamariotissa,GR,2021-12-19 01:38:09,40.4833,25.4667,42.85,61,4,30.58
119,Prince Albert,CA,2021-12-19 01:38:09,53.2001,-105.7677,-2.25,71,90,10.36
120,Tarnogskiy Gorodok,RU,2021-12-19 01:38:10,60.4997,43.5761,14.2,96,100,4.27
121,Capaci,IT,2021-12-19 01:38:10,38.1711,13.2393,51.4,55,0,18.41
122,Turbat,PK,2021-12-19 01:38:11,26.0023,63.044,60.3,70,53,0.38
