,City,Country,Lat,Long,Max Temp,Pct Humidity,Pct Cloudiness,Wind Speed,Description,Hotel Name
58,Sibolga,ID,1.7427,98.7792,75.7,86,100,2.59,overcast clouds,Koperasi Simpan Pinjam Nasari (KSP Nasari) - KCP Sibolga
59,Mao,TD,14.1212,15.3103,66.99,19,3,9.22,clear sky,Mao Hôpital de District
60,Huarmey,PE,-10.0681,-78.1522,72.12,78,94,8.5,overcast clouds,Hotel Miramar
61,Port Elizabeth,ZA,-33.918,25.5701,68.09,82,0,14.97,clear sky,Gelvandale Stadium
62,Manokwari,ID,-0.8667,134.0833,79.21,78,100,3.56,light rain,Swiss Belhotel Manokwari
63,Constitucion,MX,23.9912,-104.6749,71.26,26,0,15.99,clear sky,Xpress
64,Jamestown,SH,-15.9387,-5.7168,67.21,82,0,14.97,clear sky,The Castle
65,Flinders,AU,-34.5833,150.8552,73.2,79,43,5.99,scattered clouds,Shellharbour Resort & Conference Centre
66,Saldanha,ZA,-33.0117,17.9442,60.85,81,26,6.53,scattered clouds,Blue Bay Lodge
67,Morros,BR,-9.4467,-46.3003,70.09,97,100,5.14,light rain,Clube Avalanche
68,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,80,56,16.67,broken clouds,Pestana Bahia Praia
69,Cooma,AU,-36.2333,149.1333,60.57,58,0,8.05,clear sky,High Country Motel
70,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,3.44,light rain,La Case du Pêcheur
71,Cape Town,ZA,-33.9258,18.4232,63.01,73,20,1.01,few clouds,Southern Sun Waterfront Cape Town
72,Mount Gambier,AU,-37.8333,140.7667,62.51,88,100,9.22,overcast clouds,The Commodore
73,Hereford,US,34.8151,-102.3977,58.5,60,1,10.0,clear sky,KPAN-FM Hereford
74,Bambanglipuro,ID,-7.95,110.2833,62.6,87,84,5.7,broken clouds,SafariFM
75,Panlaitan,PH,12.1191,119.8486,79.41,71,95,4.27,overcast clouds,Philippine Coast Guard - CGDet Talampulan
76,Turbat,PK,26.0023,63.044,64.22,60,68,1.12,broken clouds,Bolan Engineering Workshop
77,Saint George,BM,32.3817,-64.6781,69.75,88,75,12.66,broken clouds,The St George's Club & Resort
78,Mogadishu,SO,2.0371,45.3438,76.64,78,88,20.2,overcast clouds,Benadir Secondary School
79,Pinehurst,US,35.1954,-79.4695,72.39,69,20,10.36,few clouds,SpringHill Suites by Marriott Pinehurst Southern Pines
80,Mgandu,TZ,-5.95,34.1333,62.76,92,100,2.57,overcast clouds,Mgandu
81,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,90,6.91,moderate rain,Pousada Porto Praia
82,Ndende,GA,-2.4008,11.3581,73.9,98,100,1.52,light rain,Cecado Ndendé
83,Mahebourg,MU,-20.4081,57.7,75.49,78,40,3.44,light rain,Shandrani Beachcomber Resort & Spa
84,Palu,ID,-0.8917,119.8707,75.81,96,100,1.54,overcast clouds,Hotel Santika Palu
85,Morondava,MG,-20.2833,44.2833,78.46,80,76,5.28,broken clouds,La Case Bambou
86,Pringsewu,ID,-5.3582,104.9744,72.88,94,80,2.44,broken clouds,Puspa Jaya Agen Pringsewu
87,Tomigusuku,JP,26.185,127.675,58.77,63,20,9.22,few clouds,Hotel Gran View Okinawa
88,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,60.31,51,0,34.18,clear sky,Recaudación de Rentas del Gobierno del Estado de Durango
89,Pacific Grove,US,36.6177,-121.9166,55.87,66,1,8.01,clear sky,Lovers Point Inn
90,Nouadhibou,MR,20.931,-17.0347,75.18,31,0,10.36,clear sky,El Medina
91,Russell,NZ,-35.2613,174.1236,77.23,60,3,6.53,clear sky,The Waterfront Suites Paihia
92,Ahipara,NZ,-35.1667,173.1667,70.66,61,3,11.74,clear sky,Ahipara Holiday Park
93,Port Lincoln,AU,-34.7333,135.8667,78.13,49,97,10.78,overcast clouds,Port Lincoln Hotel
94,Waitati,NZ,-45.75,170.5667,67.12,61,19,3.58,few clouds,Arden Country House BnB Dunedin
95,San Angelo,US,31.4638,-100.437,77.97,43,1,0.0,clear sky,"Motel 6 San Angelo, TX"
96,Taltal,CL,-25.4,-70.4833,70.07,75,25,8.01,scattered clouds,Residencial Karime
97,Inhambane,MZ,-23.865,35.3833,76.19,88,35,3.18,scattered clouds,Oceano
98,Esperance,AU,-33.8667,121.9,62.44,67,100,12.01,overcast clouds,Hospitality Esperance
99,Ampanihy,MG,-24.7,44.75,75.0,76,100,7.36,overcast clouds,Palais De La Justice
100,Waipawa,NZ,-41.4122,175.5153,68.63,59,0,5.88,clear sky,Tuturumuri School
101,Killybegs,IE,54.6333,-8.45,55.45,89,100,18.12,light rain,Tara Hotel
102,Souillac,MU,-20.5167,57.5167,75.58,78,40,3.44,scattered clouds,Shanti Maurice Resort & Spa
103,Sechura,PE,-5.5569,-80.8222,77.58,58,49,17.9,scattered clouds,Municipalidad Provincial de Sechura
104,Phan Thiet,VN,10.9333,108.1,69.93,73,22,7.11,few clouds,Hotel Saigon-PT
105,Karuri,KE,-0.7,37.1833,60.49,95,17,2.35,few clouds,Family Bank
106,Rio Gallegos,AR,-51.6226,-69.2181,57.25,24,20,32.21,few clouds,Hotel Santa Cruz
107,Yulara,AU,-25.2406,130.9889,73.24,53,16,6.91,few clouds,Desert Gardens Hotel - Ayers Rock Resort
108,Portland,AU,-38.3333,141.6,65.5,70,100,4.68,overcast clouds,Portland Holiday Village
109,Kaitangata,NZ,-46.2817,169.8464,62.92,70,100,2.42,overcast clouds,Kaitangata School
110,Barra Patuca,HN,15.8,-84.2833,79.23,81,12,11.54,few clouds,K W STORY
111,Pithoro,PK,25.5167,69.3833,59.77,23,67,8.12,broken clouds,MoneyGram
112,Mweka,CD,-4.85,21.5667,66.61,99,62,1.48,broken clouds,Cathedral of St. Martin
113,Jacareacanga,BR,-6.2222,-57.7528,75.27,97,97,0.85,overcast clouds,Prefeitura Municipal de Jacareacanga
114,Ypsonas,CY,34.6884,32.9574,59.97,72,20,19.57,few clouds,Club Aphrodite
115,Lebu,CL,-37.6167,-73.65,60.84,76,1,10.29,clear sky,Restaurante Casa Vieja
116,Kaoma,ZM,-14.7833,24.8,63.28,93,100,3.38,overcast clouds,Kaoma Community School
117,Waingapu,ID,-9.6567,120.2641,78.64,83,100,4.79,overcast clouds,Pondok Wisata Elim
118,Salinas,EC,-2.2167,-80.9667,73.72,76,40,11.88,scattered clouds,Hotel Colón Salinas
119,Valparaiso,CL,-33.0393,-71.6273,77.23,38,0,9.22,clear sky,Hotel Ultramar
120,Cidreira,BR,-30.1811,-50.2056,73.72,84,64,17.34,broken clouds,Diego Imóveis
121,Hamilton,BM,32.2915,-64.778,70.0,87,75,5.01,broken clouds,Coco Reef Resort Bermuda
122,Pisco,PE,-13.7,-76.2167,75.25,64,0,21.85,clear sky,Hotel San Isidro Oficial
123,Rawson,AR,-43.3002,-65.1023,79.27,22,94,14.36,overcast clouds,Ate
124,Namibe,AO,-15.1961,12.1522,71.78,66,19,6.71,few clouds,Pavilhão Welwitschia Mirabilis
125,Kruisfontein,ZA,-34.0033,24.7314,65.88,89,9,5.41,clear sky,Mervic Glass Cc
126,Bengkulu,ID,-3.8004,102.2655,74.84,89,100,4.05,moderate rain,Grage Hotel Bengkulu
127,Ponta Delgada,PT,37.7333,-25.6667,61.52,72,20,19.57,few clouds,Vila Nova Hotel
128,Riyadh,SA,24.6877,46.7219,57.34,82,18,8.59,few clouds,"InterContinental Riyadh, an IHG Hotel"
129,Padang,ID,-0.9492,100.3543,76.8,88,96,3.56,overcast clouds,Plaza Andalas
130,Masuguru,TZ,-11.3667,38.4167,74.39,82,72,2.62,broken clouds,Masuguru
131,Camocim,BR,-2.9022,-40.8411,78.96,84,93,12.57,overcast clouds,Ilha Praia Hotel
132,Digras,IN,20.1167,77.7167,62.65,71,0,3.98,clear sky,Bahekar Digital Photo Studio
133,Binga,CD,0.5218,29.318,63.77,97,100,1.95,overcast clouds,BINGO
134,Georgetown,SH,-7.9333,-14.4167,75.92,77,60,17.69,broken clouds,Grotto of Our Lady of Ascension
135,Kalengwa,ZM,-13.4659,25.0027,61.18,96,27,3.47,scattered clouds,Kalengwa Market
136,Moree,AU,-29.4667,149.85,73.42,64,58,9.22,broken clouds,Molika Springs Motel
137,Limbe,CM,4.0242,9.2149,77.85,83,87,1.97,light rain,The LK Hotel at Bonadikombo
138,Madang,PG,-5.2246,145.7966,74.53,91,100,10.11,overcast clouds,Holy Spirit Primary
139,Sur,OM,22.5667,59.5289,70.74,74,3,6.04,clear sky,Sur Plaza Hotel
140,Kontagora,NG,10.3999,5.4695,76.59,21,1,5.59,clear sky,Guaranty Trust Bank PLC
141,Tuatapere,NZ,-46.1333,167.6833,58.82,77,96,5.28,overcast clouds,Tuatapere Cemetery
142,Ribeira Brava,CV,16.6167,-24.3,73.38,71,99,11.9,overcast clouds,Bela Sombra
143,Kankon,IN,15.0167,74.0167,76.8,66,25,4.88,scattered clouds,Palolem Beach Resort
144,Amealco,MX,20.1833,-100.15,67.03,20,0,9.4,clear sky,Unidad Médica Familiar Issste
145,Tarboro,US,35.8968,-77.5358,73.53,82,40,3.44,scattered clouds,Vidant Edgecombe Hospital
146,Casma,PE,-9.4734,-78.2996,74.07,70,98,7.16,overcast clouds,Hostal Cregori
147,Bertoua,CM,4.5833,13.6833,72.82,40,65,3.15,broken clouds,Société Africaine de Négoce
148,Sinnamary,GF,5.3833,-52.95,77.45,82,100,13.33,overcast clouds,ALETHEIA Appartement Sinnamary
149,Singaraja,ID,-8.112,115.0882,79.97,78,83,2.75,broken clouds,1000 Dream Bungalow & Restaurant
150,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,91,100,15.99,heavy intensity rain,AC São João da Barra
151,Lompoc,US,34.6391,-120.4579,61.57,69,75,16.11,broken clouds,"Holiday Inn Express Lompoc, an IHG Hotel"
152,Nabire,ID,-3.3667,135.4833,76.91,87,86,2.3,overcast clouds,Pegadaian Nabire
153,Ivybridge,GB,50.3904,-3.9191,57.83,98,100,16.55,overcast clouds,The Anchor Inn
154,Chato,TZ,-2.6378,31.7669,66.9,81,99,3.49,overcast clouds,Central Police Station Chato
155,Christchurch,NZ,-43.5333,172.6333,76.48,45,0,3.0,clear sky,YMCA Christchurch
156,Dunedin,NZ,-45.8742,170.5036,63.34,72,58,5.55,broken clouds,Scenic Hotel Southern Cross
157,Luanda,AO,-8.8368,13.2343,77.0,88,75,10.36,broken clouds,Unitel
158,Montepuez,MZ,-13.1256,38.9997,69.6,99,81,3.2,broken clouds,TDM Office
159,Daru,PG,-9.0763,143.2092,79.45,86,100,7.23,overcast clouds,Fly River Provincial Government
160,Abalak,NE,15.4509,6.2793,66.83,17,0,10.63,clear sky,Pharmacie
